DATE,APUS23A72610
1978-11-01,0.051
1978-12-01,0.053
1979-01-01,0.053
1979-02-01,0.053
1979-03-01,0.054
1979-04-01,0.052
1979-05-01,0.053
1979-06-01,0.063
1979-07-01,0.062
1979-08-01,0.061
1979-09-01,0.061
1979-10-01,0.053
1979-11-01,0.053
1979-12-01,0.054
1980-01-01,0.055
1980-02-01,0.064
1980-03-01,0.064
1980-04-01,0.064
1980-05-01,0.063
1980-06-01,0.074
1980-07-01,0.074
1980-08-01,0.075
1980-09-01,0.078
1980-10-01,0.067
1980-11-01,0.066
1980-12-01,0.070
1981-01-01,0.069
1981-02-01,0.071
1981-03-01,0.072
1981-04-01,0.072
1981-05-01,0.071
1981-06-01,0.082
1981-07-01,0.088
1981-08-01,0.088
1981-09-01,0.089
1981-10-01,0.076
1981-11-01,0.076
1981-12-01,0.076
1982-01-01,0.077
1982-02-01,0.079
1982-03-01,0.081
1982-04-01,0.081
1982-05-01,0.087
1982-06-01,0.102
1982-07-01,0.101
1982-08-01,0.099
1982-09-01,0.099
1982-10-01,0.081
1982-11-01,0.079
1982-12-01,0.087
1983-01-01,0.087
1983-02-01,0.090
1983-03-01,0.089
1983-04-01,0.088
1983-05-01,0.089
1983-06-01,0.112
1983-07-01,0.113
1983-08-01,0.113
1983-09-01,0.113
1983-10-01,0.092
1983-11-01,0.092
1983-12-01,0.092
1984-01-01,0.092
1984-02-01,0.092
1984-03-01,0.095
1984-04-01,0.095
1984-05-01,0.092
1984-06-01,0.113
1984-07-01,0.113
1984-08-01,0.128
1984-09-01,0.128
1984-10-01,0.099
1984-11-01,0.099
1984-12-01,0.090
1985-01-01,0.090
1985-02-01,0.090
1985-03-01,0.090
1985-04-01,0.087
1985-05-01,0.088
1985-06-01,0.132
1985-07-01,0.133
1985-08-01,0.132
1985-09-01,.
1985-10-01,0.087
1985-11-01,0.087
1985-12-01,0.087
1986-01-01,0.090
1986-02-01,0.088
1986-03-01,0.088
1986-04-01,0.084
1986-05-01,0.082
1986-06-01,0.137
1986-07-01,0.138
1986-08-01,0.139
1986-09-01,0.144
1986-10-01,0.084
1986-11-01,0.084
1986-12-01,0.082
1987-01-01,0.084
1987-02-01,0.084
1987-03-01,0.084
1987-04-01,0.084
1987-05-01,0.085
1987-06-01,0.155
1987-07-01,0.156
1987-08-01,0.156
1987-09-01,0.156
1987-10-01,0.084
1987-11-01,0.081
1987-12-01,0.079
1988-01-01,0.078
1988-02-01,0.077
1988-03-01,0.077
1988-04-01,0.077
1988-05-01,0.078
1988-06-01,0.135
1988-07-01,0.133
1988-08-01,0.134
1988-09-01,0.134
1988-10-01,0.108
1988-11-01,0.092
1988-12-01,0.106
1989-01-01,0.092
1989-02-01,0.092
1989-03-01,0.091
1989-04-01,0.091
1989-05-01,0.091
1989-06-01,0.135
1989-07-01,0.135
1989-08-01,0.135
1989-09-01,0.136
1989-10-01,0.091
1989-11-01,0.091
1989-12-01,0.091
1990-01-01,0.091
1990-02-01,0.092
1990-03-01,0.093
1990-04-01,0.091
1990-05-01,0.092
1990-06-01,0.138
1990-07-01,0.121
1990-08-01,0.118
1990-09-01,0.120
1990-10-01,0.065
1990-11-01,0.065
1990-12-01,0.064
1991-01-01,0.084
1991-02-01,0.084
1991-03-01,0.102
1991-04-01,0.100
1991-05-01,0.100
1991-06-01,0.122
1991-07-01,0.123
1991-08-01,0.119
1991-09-01,0.119
1991-10-01,0.100
1991-11-01,0.075
1991-12-01,0.098
1992-01-01,0.102
1992-02-01,0.092
1992-03-01,0.107
1992-04-01,0.104
1992-05-01,0.106
1992-06-01,0.125
1992-07-01,0.112
1992-08-01,0.112
1992-09-01,0.113
1992-10-01,0.088
1992-11-01,0.086
1992-12-01,0.105
1993-01-01,0.106
1993-02-01,0.104
1993-03-01,0.109
1993-04-01,0.109
1993-05-01,0.108
1993-06-01,0.123
1993-07-01,0.124
1993-08-01,0.124
1993-09-01,0.125
1993-10-01,0.111
1993-11-01,0.079
1993-12-01,0.078
1994-01-01,0.076
1994-02-01,0.076
1994-03-01,0.079
1994-04-01,0.076
1994-05-01,0.075
1994-06-01,0.089
1994-07-01,0.089
1994-08-01,0.090
1994-09-01,0.089
1994-10-01,0.078
